Sample;condition
SUM_F2_008YB;untreated
SUM_F2_009YB;treated
SUM_F2_010YB;untreated
SUM_F2_012YB;untreated
SUM_F2_013YB;treated
SUM_F2_022YB;treated
SUM_F2_025YB;treated
